model,accuracy,precision,recall,f1,auc,total_return,sharpe_ratio,max_drawdown,avg_daily_return,std_daily_return,n_days
Baseline-LR(L1),0.49887640449438203,0.4948805460750853,0.6590909090909091,0.5653021442495126,0.4933939393939394,-0.1953221234430531,-0.21285560290233738,-0.5026633777546536,-0.0002763200657458785,0.02060760909045117,444
Baseline-RF,0.49887640449438203,0.4854368932038835,0.22727272727272727,0.30959752321981426,0.4563232323232323,-0.09979115584080411,-0.1509501818516702,-0.21887098389342008,-0.00013590719022938048,0.014292528395328049,444
GRU,0.5112612612612613,0.5555555555555556,0.045662100456621,0.08438818565400844,0.5341045154743784,0.14123227886010437,0.6744966725691374,-0.06495060771561878,0.0003269488464460212,0.007694851947963754,443
