model,total_return,sharpe_ratio,max_drawdown,avg_daily_return,std_daily_return,n_days
Baseline-LR(L1),-0.1953221234430531,-0.21285560290233738,-0.5026633777546536,-0.0002763200657458785,0.02060760909045117,444
Baseline-RF,-0.09979115584080411,-0.1509501818516702,-0.21887098389342008,-0.00013590719022938048,0.014292528395328049,444
