feature,gain,cumulative_gain
Local_feature_2,237,0.0395
Local_feature_53,229,0.07766666666666666
fees,153,0.10316666666666667
Local_feature_52,142,0.12683333333333333
Aggregate_feature_13,117,0.14633333333333334
Local_feature_58,116,0.16566666666666666
Local_feature_88,114,0.18466666666666667
Local_feature_55,113,0.2035
Aggregate_feature_45,110,0.22183333333333333
Aggregate_feature_49,106,0.2395
Aggregate_feature_34,93,0.255
Local_feature_3,91,0.27016666666666667
Local_feature_46,90,0.2851666666666667
size,84,0.2991666666666667
Aggregate_feature_37,83,0.313
Local_feature_23,83,0.3268333333333333
Aggregate_feature_9,82,0.3405
Aggregate_feature_39,77,0.35333333333333333
Aggregate_feature_44,75,0.36583333333333334
Aggregate_feature_46,70,0.3775
Local_feature_90,70,0.38916666666666666
Aggregate_feature_14,69,0.40066666666666667
Aggregate_feature_32,68,0.412
Local_feature_89,68,0.42333333333333334
Local_feature_16,67,0.4345
Local_feature_61,65,0.44533333333333336
Local_feature_18,64,0.456
Local_feature_80,63,0.4665
Aggregate_feature_50,61,0.4766666666666667
Aggregate_feature_61,60,0.4866666666666667
Aggregate_feature_1,59,0.4965
Aggregate_feature_70,58,0.5061666666666667
Aggregate_feature_40,58,0.5158333333333334
Aggregate_feature_38,57,0.5253333333333333
Local_feature_59,56,0.5346666666666666
Aggregate_feature_51,55,0.5438333333333333
Local_feature_41,54,0.5528333333333333
Aggregate_feature_62,50,0.5611666666666667
Aggregate_feature_7,50,0.5695
Aggregate_feature_16,49,0.5776666666666667
pagerank,49,0.5858333333333333
Local_feature_49,49,0.594
Aggregate_feature_4,49,0.6021666666666666
Local_feature_47,48,0.6101666666666666
Local_feature_79,47,0.618
Aggregate_feature_2,47,0.6258333333333334
Aggregate_feature_64,46,0.6335
out_degree_centrality,46,0.6411666666666667
Local_feature_77,45,0.6486666666666666
Local_feature_25,45,0.6561666666666667
Aggregate_feature_43,45,0.6636666666666666
Local_feature_83,44,0.671
Aggregate_feature_28,43,0.6781666666666667
Local_feature_22,42,0.6851666666666667
Aggregate_feature_8,42,0.6921666666666667
Local_feature_64,41,0.699
Aggregate_feature_52,41,0.7058333333333333
Local_feature_8,40,0.7125
Local_feature_5,40,0.7191666666666666
Aggregate_feature_68,40,0.7258333333333333
in_BTC_median,39,0.7323333333333333
Local_feature_91,38,0.7386666666666667
Aggregate_feature_71,38,0.745
Aggregate_feature_22,37,0.7511666666666666
Aggregate_feature_63,37,0.7573333333333333
Aggregate_feature_58,36,0.7633333333333333
in_BTC_min,35,0.7691666666666667
Local_feature_54,34,0.7748333333333334
in_degree_centrality,34,0.7805
Local_feature_84,33,0.786
Aggregate_feature_56,32,0.7913333333333333
Aggregate_feature_21,31,0.7965
Local_feature_43,31,0.8016666666666666
Local_feature_28,31,0.8068333333333333
Aggregate_feature_57,31,0.812
Local_feature_60,31,0.8171666666666667
Local_feature_73,30,0.8221666666666667
Local_feature_40,30,0.8271666666666667
out_BTC_min,29,0.832
Local_feature_76,28,0.8366666666666667
Local_feature_10,28,0.8413333333333334
Local_feature_72,27,0.8458333333333333
Aggregate_feature_17,26,0.8501666666666666
Local_feature_65,23,0.854
Aggregate_feature_65,23,0.8578333333333333
Local_feature_13,22,0.8615
Local_feature_24,22,0.8651666666666666
Aggregate_feature_55,22,0.8688333333333333
out_BTC_median,20,0.8721666666666666
Local_feature_26,20,0.8755
closeness_centrality,20,0.8788333333333334
Local_feature_85,20,0.8821666666666667
Local_feature_71,19,0.8853333333333333
Local_feature_67,19,0.8885
Local_feature_12,19,0.8916666666666667
Local_feature_17,19,0.8948333333333334
Aggregate_feature_31,19,0.898
Aggregate_feature_10,18,0.901
Local_feature_1,18,0.904
Aggregate_feature_3,17,0.9068333333333334
Aggregate_feature_69,17,0.9096666666666666
Aggregate_feature_67,17,0.9125
Aggregate_feature_59,17,0.9153333333333333
Aggregate_feature_15,17,0.9181666666666667
Local_feature_48,17,0.921
Local_feature_78,16,0.9236666666666666
Local_feature_9,16,0.9263333333333333
Local_feature_42,15,0.9288333333333333
Local_feature_56,14,0.9311666666666667
Local_feature_66,14,0.9335
Aggregate_feature_35,14,0.9358333333333333
out_BTC_max,13,0.938
Aggregate_feature_23,13,0.9401666666666667
in_out_degree_ratio,12,0.9421666666666667
Aggregate_feature_18,12,0.9441666666666667
Aggregate_feature_66,11,0.946
Aggregate_feature_11,11,0.9478333333333333
Aggregate_feature_33,11,0.9496666666666667
Aggregate_feature_41,11,0.9515
Aggregate_feature_72,10,0.9531666666666667
total_BTC,10,0.9548333333333333
in_BTC_max,10,0.9565
Local_feature_11,10,0.9581666666666667
Aggregate_feature_27,9,0.9596666666666667
Aggregate_feature_30,9,0.9611666666666666
in_txs_degree,9,0.9626666666666667
Local_feature_57,9,0.9641666666666666
Local_feature_30,8,0.9655
in_BTC_mean,8,0.9668333333333333
Aggregate_feature_47,8,0.9681666666666666
Aggregate_feature_25,8,0.9695
Aggregate_feature_6,7,0.9706666666666667
Local_feature_62,7,0.9718333333333333
Aggregate_feature_36,7,0.973
Aggregate_feature_19,7,0.9741666666666666
Aggregate_feature_12,7,0.9753333333333334
Aggregate_feature_26,7,0.9765
Aggregate_feature_53,7,0.9776666666666667
Aggregate_feature_5,6,0.9786666666666667
Local_feature_29,6,0.9796666666666667
Aggregate_feature_24,6,0.9806666666666667
Local_feature_31,6,0.9816666666666667
Aggregate_feature_20,6,0.9826666666666667
out_BTC_mean,6,0.9836666666666667
Aggregate_feature_29,6,0.9846666666666667
Local_feature_86,6,0.9856666666666667
Local_feature_45,6,0.9866666666666667
Local_feature_92,5,0.9875
out_txs_degree,5,0.9883333333333333
Aggregate_feature_60,5,0.9891666666666666
Local_feature_34,5,0.99
Local_feature_20,5,0.9908333333333333
Local_feature_35,4,0.9915
Local_feature_32,4,0.9921666666666666
Local_feature_4,4,0.9928333333333333
Aggregate_feature_48,3,0.9933333333333333
Local_feature_63,3,0.9938333333333333
Local_feature_74,3,0.9943333333333333
in_BTC_total,3,0.9948333333333333
Local_feature_51,3,0.9953333333333333
Local_feature_70,3,0.9958333333333333
Aggregate_feature_42,3,0.9963333333333333
Local_feature_27,3,0.9968333333333333
num_output_addresses,2,0.9971666666666666
Local_feature_19,2,0.9975
Local_feature_81,2,0.9978333333333333
Local_feature_68,2,0.9981666666666666
Local_feature_37,2,0.9985
Local_feature_44,2,0.9988333333333334
Local_feature_69,2,0.9991666666666666
Local_feature_33,1,0.9993333333333333
Local_feature_75,1,0.9995
Local_feature_6,1,0.9996666666666667
Local_feature_93,1,0.9998333333333334
Local_feature_36,1,1.0
betweenness_centrality,0,1.0
clustering_coefficient,0,1.0
Local_feature_7,0,1.0
out_BTC_total,0,1.0
Local_feature_14,0,1.0
Local_feature_82,0,1.0
Local_feature_50,0,1.0
Local_feature_15,0,1.0
Aggregate_feature_54,0,1.0
Local_feature_39,0,1.0
Local_feature_38,0,1.0
num_input_addresses,0,1.0
Local_feature_21,0,1.0
Local_feature_87,0,1.0
