userWallet,total_deposit,total_borrow,total_repay,balance_mean,balance_std,tx_count,days_since_last_tx,health_ratio,leverage_ratio
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,2.5e+19,1.6e+19,1.6e+19,1.3666665000000002e+19,3.6147870384505364e+18,6.0,103,1.0,0.64
0x0005696d4be2359526c497fe4a4c0620b41f2426,2.9350141e+17,592247574.0,592297200.0,1.4736597132767429e+19,3.873077116269094e+19,7.0,84,1.0000837926606687,2.0178696041017315e-09
0x000660cad76200a2e326f53e033919905e6c50f5,1064772.0,0.0,0.0,1064772.0,0.0,1.0,49,1.0,0.0
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1.3e+18,0.0,0.0,1.3e+18,0.0,1.0,42,1.0,0.0
0x00080000158a9930aeb508823103b0a977161c47,3e+18,0.0,0.0,1.5e+18,7.071067811865476e+17,2.0,45,1.0,0.0
0x00099b1263c22ae2ce0a52624cef2a012e751970,4712595639187231.0,0.0,0.0,2356297819593615.5,3332069953908106.0,2.0,43,1.0,0.0
0x0009ce45d5df78e632a0b4987079432dfba2253a,4.1e+16,0.0,0.0,4.1e+16,0.0,1.0,124,1.0,0.0
0x000a27ba176083e4b50177378cbe7469a00dd557,276526904.0,160000000.0,160082274.0,72779897.08333333,49703908.74057894,12.0,58,1.0005142125,0.5786055450141662
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,1.9281445079779706e+22,4.800000001338327e+19,13385125834.0,1.2102447431869305e+21,1.9586330459614017e+21,43.0,66,2.78856788130583e-10,0.0024894399675323337
0x000ab43e658935ba39504a1424b01756c1e9644c,1e+17,1e+16,0.0,5.5e+16,6.363961030678928e+16,2.0,23,0.0,0.1
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,2.2002139414592373e+20,0.0,0.0,5.076690859644885e+18,1.2912819375251782e+19,77.0,5,1.0,0.0
0x000c8e2871750f458bf1de8ab528dda09bc95db6,1.5e+22,2.356e+21,2.356e+21,8.678e+21,7.300016803633628e+21,4.0,131,1.0,0.15706666666666666
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,7.132457629292884e+16,971000000.0,921516338.0,1938770315524282.5,4996689912586357.0,71.0,3,0.9490384531410917,1.3613820795964063e-08
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,2.00272e+20,40000000.0,40108150.0,3.337866666668002e+19,2.585521863503763e+19,6.0,51,1.00270375,1.9972836941759207e-13
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1000000000000000.0,0.0,0.0,1000000000000000.0,0.0,1.0,82,1.0,0.0
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1e+17,0.0,0.0,1e+17,0.0,1.0,101,1.0,0.0
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,2.8256901933637283e+17,879000000.0,501890779.0,3.5321127652419256e+16,9.990323476788603e+16,8.0,12,0.5709792707622298,3.110744419414324e-09
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,2.132617238514029e+18,0.0,0.0,3.9907817664519814e+17,5.5079396481472275e+17,8.0,0,1.0,0.0
0x000e840a3122ec28d0c29321db172375cb049762,3.837084420447951e+20,216908607.0,217048025.0,3.837084420454965e+19,5.46385102877679e+19,10.0,85,1.0006427499670403,5.652953733415058e-13
0x000e9bd1d42999446d60ff60f1fb3afb13604202,1.8112655988098611e+19,35000000.0,35002269.0,8.284232718622505e+17,2.8192355219211633e+18,22.0,5,1.0000648285714286,1.9323505080092977e-12
0x000eab293e332bd6e67018a9150e8807bfac3233,1.2e+18,0.0,0.0,1.2e+18,0.0,1.0,40,1.0,0.0
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,5.6e+19,0.0,0.0,5.604617176371426e+19,6.529673444338515e+16,2.0,76,1.0,0.0
0x000f4432a40560bbff1b581a8b7aded8dab80026,9.28472901901214e+18,17600000000.0,17614321013.0,3.6666892267456037e+19,1.7946979597421625e+20,25.0,110,1.0008136939204546,1.8955857477327405e-09
0x000f7f22bfc28d940d4b68e13213ab17cf107790,5.376726769708291e+23,4.199051244553148e+23,1.4663222052498567e+23,2.0576737106643694e+24,2.132800272320016e+24,73.0,129,1.000166484452041,0.8403974990248431
0x000f908720f9ce164d90f4fc89459fab4442907f,1.5296965019179294e+21,7.935281590685303e+20,7.935551142167785e+20,4.840144177342127e+19,4.966955156241589e+19,96.0,81,1.0000339687356272,0.5187487570727963
0x000fbfec300959d0f2f327728a889c1f5de8e2df,5.93233163408689e+20,1.4e+20,1.4004910116409685e+20,1.5291028307159823e+20,1.8980385888646886e+20,8.0,52,1.0003507226006918,0.2359948981873616
0x0011730224657eb527cf736039854c3a3f140e63,4.5e+21,7.39e+20,7.39e+20,2.6195e+21,2.1714143624221824e+21,4.0,136,1.0,0.16422222222222221
0x00120ea6fdbaf057eadc1bd149f957488444e92c,2.3675989569912272e+20,2608976.0,2608976.0,5.918997392478198e+19,6.8347398813222396e+19,4.0,59,1.0,1.1019501391044359e-14
0x0012668072f7e0579caf7e047713d8b6d476d0db,3e+18,0.0,0.0,1.5e+18,1.414213562373095e+17,2.0,43,1.0,0.0
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,1.1486621116412448e+22,4.923462755854999e+21,9.33385959030951e+20,7.511939351054424e+19,4.153096748147045e+20,231.0,47,0.189579165176169,0.4286258514107512
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,0.0,0.0,0.0,5000954281830769.0,0.0,1.0,51,1.0,0.0
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,9.26e+16,0.0,0.0,9.26e+16,0.0,1.0,98,1.0,0.0
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2455392.0,0.0,0.0,1227696.0,102336.73601400427,2.0,40,1.0,0.0
0x0014dfac19477a83d7354e6eaac28642c1959398,1.6993360966012305e+20,18156827224.0,18162323503.0,9.44081660969224e+18,1.2892295024626864e+19,36.0,73,1.0003027114226617,1.0684659297424855e-10
0x001589fe1923c2118f34e4277f2ef650fcbf0161,4.14069156227058e+21,9.433796318126906e+20,0.0,2.4187469064853363e+20,4.3269827755806386e+20,30.0,2,0.0,0.22783141840571702
0x00159370cbe576b765a7fb2e78582e0cb563d445,1.4378217549440027e+21,4.755336760005915e+20,0.0,1.5719081215497866e+20,3.062261868503934e+20,19.0,3,0.0,0.3307320078900264
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,14127252.0,0.0,0.0,14127264.0,16.97056274847714,2.0,97,1.0,0.0
0x0016469a65facda9e86fd0ae0e9661128843c224,2.21e+16,5000000000000000.0,0.0,1.355e+16,1.2091525958289962e+16,2.0,115,0.0,0.22624434389140272
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,9.63e+16,0.0,0.0,9.63e+16,0.0,1.0,98,1.0,0.0
0x00183135585d70a523d61b2e43037a7138b36906,1.5304922101147493e+21,1.420027252822416e+21,6.407402824712978e+17,6.6581811636006715e+19,1.8314829062596818e+20,54.0,6,0.0004512168912235846,0.9278239009893091
0x00184e8aa1e95f491f2d9601e12b540092160ded,1.0235e+20,6.1e+19,6.1e+19,8.1675e+19,2.387343363099103e+19,4.0,141,1.0,0.5959941377625794
0x0018583d7654803d2c59467e10dec5f70bbe1851,260000000000460.0,0.0,0.0,3611111111117.5,4836934064297.674,72.0,93,1.0,0.0
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2200000.0,0.0,0.0,1100000.0,0.0,2.0,44,1.0,0.0
0x0018d044b946ede86b43bb3b964a45772a5abeb9,1.462827654263013e+19,1121816.0,1121820.0,1.3370927428188378e+18,3.631743489815497e+18,22.0,23,1.0000035656471293,7.668818652223128e-14
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,0.0,79209353.0,158517071.0,3.747373367909707e+19,8.379381587705142e+19,5.0,61,2.001241835670593,0.0
0x0019bd9f6142943f3a03a8a62d0001a95213f555,1e+17,0.0,0.0,1e+17,0.0,1.0,101,1.0,0.0
0x001b024b98ee862aa01eea595c4c16a0213d2611,4.1189765583527866e+17,500000000.0,0.0,2.0594882816763933e+17,2.9125562524241485e+17,2.0,143,0.0,1.2138937741368312e-09
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,3.914713099487479e+19,234424601.0,234555105.0,1.2233478436148436e+18,5.393139868639957e+18,32.0,68,1.0005566992518844,5.988295822513564e-12
0x001bc97d92e1a30b02d4e75be25f06063555d556,1.1484504979413797e+23,54452832761.0,54495849398.0,4.756227622753872e+21,6.961012333309168e+21,45.0,75,1.0007899797828481,4.74141748892162e-13
0x001be549fa377710b9e59d57bbdf593ce1e379ca,6240750099327031.0,0.0,0.0,3120375049663515.5,4412876693711560.0,2.0,25,1.0,0.0
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2.0000000000000097e+18,0.0,0.0,1.0000000000000049e+18,1.414213562373088e+18,2.0,41,1.0,0.0
0x001d2a3192a49e28cac0a7abcaa916648c62b982,6461144026105417.0,0.0,0.0,6461144026105417.0,0.0,1.0,43,1.0,0.0
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1109087.0,0.0,0.0,1109087.0,0.0,1.0,40,1.0,0.0
0x001f96b7e19a54ae45f451b0148336504d03fdcf,18485.0,0.0,0.0,18485.0,0.0,1.0,44,1.0,0.0
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,9.189004126574749e+20,0.0,0.0,2.0315006877624582e+20,3.1308748716319795e+20,6.0,8,1.0,0.0
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,23783.0,0.0,0.0,23783.0,0.0,1.0,45,1.0,0.0
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,0.0,0.0,0.0,2012030942630.0,0.0,1.0,37,1.0,0.0
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,1.1352405889685976e+18,0.0,0.0,5.676202944842988e+17,8.027363187378921e+17,2.0,45,1.0,0.0
0x00222d56e0509a5e9ab05c588c548290a5e9f876,4440486156185637.0,0.0,0.0,4440486156185637.0,0.0,1.0,45,1.0,0.0
0x002379916ac42a432f3b53f16782d33267debb4c,1.5e+18,0.0,0.0,1.5e+18,0.0,1.0,45,1.0,0.0
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2200000.0,0.0,0.0,1100000.0,0.0,2.0,44,1.0,0.0
0x0023d9ffe7d793895c5da5833d56c737832ead2b,14997724.0,0.0,0.0,7498862.0,3534997.918992598,2.0,45,1.0,0.0
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,4999194.0,0.0,0.0,4999194.0,0.0,1.0,45,1.0,0.0
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,1.2625001510457944e+16,0.0,0.0,6312500755228972.0,31530334465481.664,2.0,44,1.0,0.0
0x0024461e7a8ce7157866eaa4c24b702d328250ce,0.0,0.0,0.0,1012775168.0,0.0,1.0,25,1.0,0.0
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,2.5e+16,0.0,0.0,2.5e+16,0.0,1.0,67,1.0,0.0
0x00246f7813397868b1beec56e1677efa47816dae,3.0379081544958256e+21,2.3568e+21,2.3593073098584406e+21,2.4529306680004854e+20,4.390715181869709e+20,44.0,73,1.001063861956229,0.7757969892908553
0x0025a856d01a898bd52286d56c52323b13937b65,1e+17,0.0,0.0,1e+17,0.0,1.0,101,1.0,0.0
0x00261d225db379b3fc74cd0228d6f90582d39035,3.42e+16,5000000000000000.0,0.0,1.96e+16,2.0647518010647188e+16,2.0,114,0.0,0.14619883040935672
0x00262ffcfda82b5582d1905ca05b849f196b0419,101169192.0,57074003.0,57090279.0,31651425.2,18248736.649321463,10.0,79,1.0002851736192395,0.5641441022875818
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,450246121481307.0,0.0,0.0,450246121481307.0,0.0,1.0,99,1.0,0.0
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1851978.0,0.0,0.0,1851978.0,0.0,1.0,40,1.0,0.0
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,9.7e+16,0.0,0.0,9.7e+16,0.0,1.0,98,1.0,0.0
0x002775390698ef16589bb22bba37ae7906ae2f36,8.138977148594979e+19,6.8201720166501695e+19,3.201720166501698e+18,5.09310706063216e+18,1.1831425790290823e+19,30.0,66,0.04694485943588079,0.8379642665328686
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1880888.0,0.0,0.0,1880888.0,0.0,1.0,39,1.0,0.0
0x0027f7335d610f15b325baa5798414548720fcaa,2.0055276752177456e+17,1518992970.0,1519063995.0,1.5427136512300714e+16,5.562332811446966e+16,13.0,2,1.00004675795175,7.574031457008336e-09
0x00283b611db7844cb5677b311afd67c8e3078518,7200645.0,0.0,0.0,7200645.0,0.0,1.0,39,1.0,0.0
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,4.72e+16,0.0,0.0,4.72e+16,0.0,1.0,119,1.0,0.0
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2.6e+18,0.0,0.0,1.3e+18,1.414213562373095e+17,2.0,45,1.0,0.0
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1107978.0,0.0,0.0,1107978.0,0.0,1.0,40,1.0,0.0
0x002aea16059a7d4bef638a03b61a9e80ef07e745,1.430619659525877e+21,6.74381785819342e+20,15406926.0,1.1123034449300932e+20,3.244452643278356e+20,41.0,40,2.2845999586541786e-14,0.4713913871719333
0x002bb13a55bf4525f02717708dd4534ecc475193,3145177.0,0.0,0.0,1572588.5,1111711.1600611464,2.0,45,1.0,0.0
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1151220.0,0.0,0.0,1151220.0,0.0,1.0,45,1.0,0.0
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,1.000000000005134e+18,2726309.0,2726309.0,2.000000000031441e+17,4.4721359549820026e+17,5.0,128,1.0,2.726308999986003e-12
0x002d2715b179d0db3e17cc28317a98f2f65e6884,7.932648299989014e+22,3.3426624892930284e+22,8.000894335516522e+21,6.328770408430586e+20,1.784202848596295e+21,253.0,44,0.239356930624746,0.42138039692212975
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,4674990964187967.0,0.0,0.0,4674990964187967.0,0.0,1.0,44,1.0,0.0
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,1.52000000000005e+22,4500000000.0,1380602617.0,5.241379310347546e+20,1.9371656711386688e+21,29.0,10,0.30680058155555556,2.9605263157893767e-13
0x002de04d579930686698abab5f48bda0b24fb9fc,9.561601228095397e+21,42533281825.0,42583466718.0,1.1269848265814557e+20,4.48671604709297e+20,85.0,2,1.0011798970323165,4.448342993014814e-12
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,2.1457e+22,2.5e+21,2.5e+21,1.19785e+22,1.0944829053027737e+22,4.0,136,1.0,0.11651209395535256
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,15000000.0,0.0,0.0,1.4180272085557535e+19,3.473443102262277e+19,6.0,16,1.0,0.0
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,12183.0,0.0,0.0,12183.0,0.0,1.0,47,1.0,0.0
