date,predicted
2026-03-23,69164.305
2026-03-24,69123.87
2026-03-25,69083.664
2026-03-26,69043.69
2026-03-27,69003.93
2026-03-28,68964.36
2026-03-29,68924.98
2026-03-30,68885.77
2026-03-31,68846.72
2026-04-01,68807.83
2026-04-02,68769.07
2026-04-03,68730.45
2026-04-04,68691.97
2026-04-05,68653.6
2026-04-06,68615.36
2026-04-07,68577.22
2026-04-08,68539.195
2026-04-09,68501.27
2026-04-10,68463.45
2026-04-11,68425.734
2026-04-12,68388.11
2026-04-13,68350.57
2026-04-14,68313.13
2026-04-15,68275.77
2026-04-16,68238.51
2026-04-17,68201.32
2026-04-18,68164.22
2026-04-19,68127.195
2026-04-20,68090.25
2026-04-21,68053.38
