date,active_addresses,tx_count,hash_rate,fees
2018-01-01,593283.0,241757.0,14975580.9596883,469.41303646
2018-01-02,850802.0,340980.0,16415540.6673506,649.16497626
2018-01-03,937531.0,395963.0,15071578.2735325,749.68547259
2018-01-04,1054712.0,425008.0,16127548.7258182,778.26109477
2018-01-05,888403.0,342707.0,13727615.8797143,701.35602085
2018-01-06,889099.0,358847.0,16127548.7258182,694.47790564
2018-01-07,910005.0,368187.0,15551564.8427532,686.11400249
2018-01-08,895997.0,345672.0,15935554.0981299,694.5264055
2018-01-09,919150.0,360265.0,15743559.4704415,752.4182028
2018-01-10,876990.0,347393.0,15935554.0981299,720.32570087
2018-01-11,822011.0,337959.0,18527481.5719221,697.44083354
2018-01-12,746540.0,300091.0,17087521.8642597,617.63579417
2018-01-13,652050.0,265735.0,16501289.1137539,528.46632102
2018-01-14,592042.0,235045.0,17165770.5545763,491.32446483
2018-01-15,670840.0,273623.0,16612036.0205577,510.11761779
2018-01-16,737399.0,303725.0,17608758.1817911,606.38246009
2018-01-17,768382.0,315771.0,18494733.4362209,675.09668652
2018-01-18,744190.0,309495.0,19159214.8770432,656.89753535
2018-01-19,578407.0,243619.0,18273239.6226134,491.48999429
2018-01-20,559712.0,240611.0,19712949.4110618,429.4031975
2018-01-21,522862.0,215622.0,20709671.5722952,343.36269629
2018-01-22,574421.0,245562.0,18494733.4362209,314.61253947
2018-01-23,547569.0,271936.0,19602202.504258,285.95800518
2018-01-24,576213.0,250423.0,19491455.5974543,283.49809897
2018-01-25,539582.0,236580.0,20445148.5647756,220.85446644
2018-01-26,514622.0,220459.0,20056949.5413938,209.13221596
2018-01-27,541700.0,193578.0,20315748.890315,168.25469362
2018-01-28,492739.0,213446.0,20445148.5647756,155.34485572
2018-01-29,532631.0,232176.0,19151151.8201696,145.75112922
2018-01-30,531441.0,236609.0,21609745.6349211,160.30090386
2018-01-31,481101.0,204276.0,15139761.9118908,162.20623626
2018-02-01,591551.0,257664.0,20703947.9136968,214.02754492
2018-02-02,551199.0,235918.0,21739145.3093817,274.36258243
