Date,Collection,Group,Volume,Floor_Price
2022-01-01,0N1 Force,Blue-chip,178.046,0.005
2022-01-01,0xVampire Project,Tail,0.01,0.01
2022-01-01,0xmons,Blue-chip,21.001,0.001
2022-01-01,10KTF,Blue-chip,3.4539999999999997,0.12
2022-01-01,99District 3D Membership,Tail,0.047,0.021
2022-01-01,A List Apes V2 Official,Tail,0.0119,0.0119
2022-01-01,A.N.I.M.O,Blue-chip,128.8582,0.0001
2022-01-01,ALPACADABRAZ,Blue-chip,19.5519,0.0279
2022-01-01,ARK // ANGELS,Tail,0.0038,0.0038
2022-01-01,ASM AIFA All-Stars,Blue-chip,1.9714,0.039
2022-01-01,ASM AIFA Genesis,Blue-chip,1.96,1.96
2022-01-01,ASM Brains,Blue-chip,9.58,1.2
2022-01-01,AV Yacht Club,Blue-chip,0.9159,0.0789
2022-01-01,Adam Bomb Squad,Blue-chip,15.052,0.2
2022-01-01,AiVATAR,Tail,0.00181,1e-05
2022-01-01,Aircoins Metaverse,Tail,0.1,0.1
2022-01-01,Alfa Pass,Blue-chip,0.5179,0.074
2022-01-01,AlienAlliance Official,Tail,0.284,0.284
2022-01-01,Alpha Girl Club,Blue-chip,1.0968,0.04
2022-01-01,Alpha Shark,Blue-chip,16.32,5.4
2022-01-01,Angry Ape Army,Blue-chip,1.65,1.65
2022-01-01,AnimalWorldWar,Tail,0.02,0.02
2022-01-01,Animetas,Blue-chip,3.975,0.1
2022-01-01,Anonymice Babies,Blue-chip,11.024000000000001,0.209
2022-01-01,ApeOnly Island,Tail,0.10400000000000001,0.004
2022-01-01,Apocalyptic Apes,Blue-chip,112.84,0.413
2022-01-01,Apostles: Genesis,Blue-chip,24.707,0.65
2022-01-01,Apymon Monsters,Tail,0.04,0.04
2022-01-01,Art Stars Club Official,Tail,0.01,0.01
2022-01-01,Artifex - J.N. Silva,Tail,0.125,0.125
2022-01-01,Artifex - Matt Szczur,Tail,0.1,0.1
2022-01-01,AstroGator Fam,Blue-chip,0.1898,0.0399
2022-01-01,BIG BUCKS,Tail,1e-06,1e-06
2022-01-01,BMC Blockchain Miners Club,Blue-chip,4.547,0.18
2022-01-01,BRAiN VOMiTS GARDEN,Blue-chip,7.5889999999999995,0.215
2022-01-01,BYOLand,Blue-chip,44.405,0.33
2022-01-01,BYOPill,Blue-chip,12.839,0.91
2022-01-01,Baby Toads,Tail,0.11,0.01
2022-01-01,Bad Face Bots,Blue-chip,33.6649,0.0138
2022-01-01,Baked Bear - THCanisters,Tail,0.05,0.05
2022-01-01,Baller Apes,Tail,0.12,0.12
2022-01-01,Battlepunk(old),Tail,0.019,0.019
2022-01-01,Bear Market Bears NFT,Tail,0.0289,0.001
2022-01-01,Bears Deluxe,Blue-chip,14.36,1.45
2022-01-01,Billionaire Bunker,Blue-chip,0.15,0.15
2022-01-01,Billionaire Dogs Club BDC,Tail,0.019,0.019
2022-01-01,Bit Monsters NFT,Tail,0.001,0.001
2022-01-01,BlackInBackKat,Tail,0.0010001,1e-07
2022-01-01,BladeRunnerPunks,Blue-chip,41.5727,0.0599
2022-01-01,Blazed Cats,Tail,0.01,0.01
2022-01-01,BlocBurgers,Tail,0.139,0.06
2022-01-01,BlockchainCuties,Tail,0.00942,0.0015
2022-01-01,Blockheads Family,Tail,0.037,0.002
2022-01-01,Bluprint Genesis,Tail,0.0289,0.0289
