"Time	Open	High	Low	Close	Volume"
"2017-12-12 00:00:00	1.17762	1.17926	1.17174	1.17422	189865	3"
"2017-12-13 00:00:00	1.17423	1.18404	1.17294	1.18361	220779	4"
"2017-12-14 00:00:00	1.18361	1.18625	1.17645	1.17745	241280	4"
"2017-12-15 00:00:00	1.17745	1.18123	1.17488	1.17492	200462	2"
"2017-12-17 00:00:00	1.17441	1.17509	1.17377	1.17432	8500	18"
"2017-12-18 00:00:00	1.17432	1.18342	1.1742	1.17837	199846	3"
"2017-12-19 00:00:00	1.17837	1.18487	1.17764	1.18369	207804	4"
"2017-12-20 00:00:00	1.18368	1.19017	1.18289	1.18776	198913	4"
"2017-12-21 00:00:00	1.18776	1.18895	1.18493	1.18521	188002	3"
"2017-12-22 00:00:00	1.18521	1.1864	1.18169	1.18607	178403	4"
"2017-12-24 00:00:00	1.1844	1.18515	1.1844	1.18505	203	135"
"2017-12-25 00:00:00	1.18505	1.18766	1.18429	1.1871	9784	74"
"2017-12-26 00:00:00	1.18712	1.18787	1.18465	1.18571	105026	5"
"2017-12-27 00:00:00	1.1857	1.19102	1.1855	1.19002	180160	3"
"2017-12-28 00:00:00	1.19001	1.19589	1.1897	1.19394	175120	4"
"2017-12-29 00:00:00	1.19395	1.20254	1.19369	1.19985	171771	3"
"2018-01-01 00:00:00	1.20102	1.20166	1.20007	1.20106	8578	39"
"2018-01-02 00:00:00	1.20105	1.20811	1.20078	1.20614	197142	4"
"2018-01-03 00:00:00	1.20614	1.20638	1.20011	1.20107	194941	3"
"2018-01-04 00:00:00	1.20108	1.20889	1.20044	1.20664	210210	3"
"2018-01-05 00:00:00	1.20663	1.20829	1.20205	1.20304	189696	4"
"2018-01-07 00:00:00	1.20265	1.20389	1.20259	1.2037	5748	31"
"2018-01-08 00:00:00	1.20371	1.20521	1.1956	1.19698	183380	2"
"2018-01-09 00:00:00	1.19698	1.19755	1.19156	1.19284	205645	4"
"2018-01-10 00:00:00	1.19282	1.20179	1.19231	1.19558	253339	4"
"2018-01-11 00:00:00	1.19557	1.20589	1.19291	1.20427	246795	3"
"2018-01-12 00:00:00	1.20427	1.22184	1.20401	1.21993	276486	3"
"2018-01-14 00:00:00	1.21933	1.22117	1.21908	1.21919	7290	22"
"2018-01-15 00:00:00	1.2192	1.22964	1.21876	1.22665	231031	3"
"2018-01-16 00:00:00	1.22666	1.22828	1.21952	1.22707	262612	3"
"2018-01-17 00:00:00	1.22707	1.23231	1.2165	1.21802	289585	4"
