"Time	Open	High	Low	Close	Volume"
"2017-12-12 00:00:00	1.33468	1.33479	1.33372	1.33453	3562	12"
"2017-12-12 01:00:00	1.33455	1.33499	1.33359	1.33375	3414	7"
"2017-12-12 02:00:00	1.33376	1.3342	1.33331	1.33386	3298	9"
"2017-12-12 03:00:00	1.33386	1.33431	1.33382	1.33385	3359	9"
"2017-12-12 04:00:00	1.33385	1.33472	1.33375	1.33395	3291	9"
"2017-12-12 05:00:00	1.33395	1.33451	1.33394	1.33451	3936	11"
"2017-12-12 06:00:00	1.33451	1.33536	1.33382	1.33383	4778	8"
"2017-12-12 07:00:00	1.33383	1.33509	1.33375	1.33418	6641	10"
"2017-12-12 08:00:00	1.33417	1.33635	1.33379	1.3351	10216	8"
"2017-12-12 09:00:00	1.33508	1.33799	1.33378	1.33449	11511	8"
"2017-12-12 10:00:00	1.33451	1.33455	1.33106	1.33388	7737	7"
"2017-12-12 11:00:00	1.3339	1.33478	1.33339	1.33445	7879	7"
"2017-12-12 12:00:00	1.33445	1.33697	1.3344	1.33649	8962	6"
"2017-12-12 13:00:00	1.33647	1.33695	1.33466	1.33468	9772	6"
"2017-12-12 14:00:00	1.33473	1.33482	1.33251	1.33348	10974	7"
"2017-12-12 15:00:00	1.33355	1.33435	1.33204	1.33225	10647	6"
"2017-12-12 16:00:00	1.33224	1.33262	1.3316	1.33215	10409	6"
"2017-12-12 17:00:00	1.33215	1.33322	1.3311	1.33143	8483	8"
"2017-12-12 18:00:00	1.33142	1.33173	1.33034	1.33063	7408	9"
"2017-12-12 19:00:00	1.33063	1.33159	1.33047	1.33146	5726	8"
"2017-12-12 20:00:00	1.33146	1.3321	1.33123	1.3321	4670	8"
"2017-12-12 21:00:00	1.3321	1.33219	1.33119	1.33168	5697	7"
"2017-12-12 22:00:00	1.33159	1.33209	1.33127	1.33146	3271	30"
"2017-12-12 23:00:00	1.33147	1.33194	1.33147	1.33192	3120	24"
"2017-12-13 00:00:00	1.33192	1.33263	1.33147	1.33244	2982	9"
"2017-12-13 01:00:00	1.33244	1.3326	1.33134	1.33136	2433	8"
"2017-12-13 02:00:00	1.33135	1.33223	1.33127	1.33223	2583	6"
"2017-12-13 03:00:00	1.33233	1.33335	1.33223	1.33246	5388	9"
"2017-12-13 04:00:00	1.33246	1.33249	1.33209	1.33232	4068	10"
"2017-12-13 05:00:00	1.33232	1.33319	1.33228	1.33299	3665	8"
"2017-12-13 06:00:00	1.333	1.3336	1.33229	1.33325	4593	8"
"2017-12-13 07:00:00	1.33327	1.33327	1.33238	1.33274	7286	11"
"2017-12-13 08:00:00	1.33274	1.33497	1.33114	1.33408	8124	6"
"2017-12-13 09:00:00	1.33403	1.33682	1.33328	1.33479	9820	8"
"2017-12-13 10:00:00	1.33479	1.33558	1.33419	1.33425	8213	8"
"2017-12-13 11:00:00	1.33422	1.33662	1.33405	1.33513	8452	8"
"2017-12-13 12:00:00	1.33511	1.33611	1.33435	1.33543	10330	7"
"2017-12-13 13:00:00	1.3354	1.33644	1.3324	1.33486	14023	8"
"2017-12-13 14:00:00	1.33486	1.3377	1.33418	1.33709	10160	8"
"2017-12-13 15:00:00	1.33708	1.33739	1.3358	1.33621	9216	6"
"2017-12-13 16:00:00	1.33625	1.33749	1.33551	1.33635	9455	6"
"2017-12-13 17:00:00	1.33634	1.33637	1.33495	1.33519	8480	7"
"2017-12-13 18:00:00	1.33521	1.33746	1.3351	1.33678	7879	6"
"2017-12-13 19:00:00	1.33678	1.34299	1.33476	1.34116	18833	21"
"2017-12-13 20:00:00	1.34124	1.34199	1.33991	1.34175	11816	8"
"2017-12-13 21:00:00	1.34174	1.34204	1.34129	1.3419	6776	8"
"2017-12-13 22:00:00	1.3419	1.34191	1.33854	1.34113	4128	47"
"2017-12-13 23:00:00	1.34116	1.34171	1.34078	1.34089	3037	20"
"2017-12-14 00:00:00	1.34089	1.34226	1.34067	1.34222	4991	11"
"2017-12-14 01:00:00	1.3422	1.34258	1.34175	1.34198	4596	8"
"2017-12-14 02:00:00	1.34199	1.34377	1.34191	1.34369	4921	9"
"2017-12-14 03:00:00	1.34369	1.34483	1.3429	1.34321	5016	8"
"2017-12-14 04:00:00	1.34322	1.34388	1.34312	1.34362	3575	9"
"2017-12-14 05:00:00	1.34361	1.34432	1.34273	1.34302	5020	8"
"2017-12-14 06:00:00	1.34302	1.34342	1.34245	1.343	5121	8"
"2017-12-14 07:00:00	1.34298	1.34346	1.34165	1.34341	8676	8"
"2017-12-14 08:00:00	1.3434	1.34446	1.34269	1.34377	9633	7"
"2017-12-14 09:00:00	1.34376	1.34658	1.34279	1.34553	10136	9"
"2017-12-14 10:00:00	1.34545	1.34551	1.34083	1.3442	10796	6"
"2017-12-14 11:00:00	1.34419	1.34525	1.34384	1.34461	10371	7"
"2017-12-14 12:00:00	1.3446	1.34463	1.34104	1.34339	14329	21"
"2017-12-14 13:00:00	1.34341	1.34395	1.34088	1.34088	16998	7"
"2017-12-14 14:00:00	1.34088	1.34264	1.33996	1.34089	16301	7"
"2017-12-14 15:00:00	1.34087	1.34243	1.33921	1.34241	15413	7"
"2017-12-14 16:00:00	1.34242	1.34422	1.34218	1.34377	13079	6"
"2017-12-14 17:00:00	1.34378	1.34407	1.34255	1.34311	8109	5"
"2017-12-14 18:00:00	1.34311	1.34444	1.34309	1.34372	8497	6"
"2017-12-14 19:00:00	1.34371	1.34462	1.34356	1.3442	7482	7"
"2017-12-14 20:00:00	1.34424	1.34431	1.34271	1.34295	6152	9"
"2017-12-14 21:00:00	1.34293	1.34326	1.34272	1.34303	6107	8"
"2017-12-14 22:00:00	1.34301	1.34318	1.34219	1.34231	2529	56"
"2017-12-14 23:00:00	1.3423	1.34335	1.34212	1.34321	4665	19"
"2017-12-15 00:00:00	1.34321	1.34399	1.34291	1.34352	4569	12"
"2017-12-15 01:00:00	1.34352	1.34399	1.34322	1.34394	5142	10"
"2017-12-15 02:00:00	1.34394	1.34474	1.34355	1.34355	6140	8"
"2017-12-15 03:00:00	1.34355	1.34368	1.34303	1.34335	5825	9"
"2017-12-15 04:00:00	1.34336	1.34385	1.34305	1.34376	4694	9"
"2017-12-15 05:00:00	1.34376	1.34417	1.34356	1.34402	4127	9"
"2017-12-15 06:00:00	1.34402	1.34432	1.34311	1.34389	5414	10"
"2017-12-15 07:00:00	1.34384	1.34458	1.34307	1.34363	7307	9"
"2017-12-15 08:00:00	1.34361	1.34425	1.34222	1.34343	11761	8"
"2017-12-15 09:00:00	1.34344	1.34401	1.34164	1.34302	11507	6"
"2017-12-15 10:00:00	1.343	1.343	1.34103	1.34139	8840	8"
"2017-12-15 11:00:00	1.34139	1.34202	1.33939	1.33961	9916	7"
"2017-12-15 12:00:00	1.33961	1.33979	1.33627	1.33702	12603	7"
"2017-12-15 13:00:00	1.33704	1.33805	1.33183	1.33267	11839	7"
"2017-12-15 14:00:00	1.33268	1.3339	1.3322	1.33287	13199	7"
"2017-12-15 15:00:00	1.33284	1.33396	1.3305	1.33167	12689	7"
"2017-12-15 16:00:00	1.33168	1.33277	1.33091	1.3312	11791	9"
"2017-12-15 17:00:00	1.33118	1.33214	1.33084	1.33207	8722	9"
"2017-12-15 18:00:00	1.33204	1.33209	1.33013	1.33168	7468	9"
"2017-12-15 19:00:00	1.33168	1.33254	1.33131	1.33207	7499	8"
"2017-12-15 20:00:00	1.33205	1.33298	1.332	1.33271	9338	10"
"2017-12-15 21:00:00	1.33272	1.33318	1.33167	1.33269	5165	7"
"2017-12-17 22:00:00	1.33095	1.33225	1.33095	1.3317	1881	109"
"2017-12-17 23:00:00	1.33172	1.33219	1.33132	1.33152	3746	29"
"2017-12-18 00:00:00	1.33155	1.33301	1.33101	1.33265	8266	17"
"2017-12-18 01:00:00	1.33263	1.33339	1.33237	1.33324	4614	8"
"2017-12-18 02:00:00	1.33324	1.33362	1.33302	1.33328	2944	8"
"2017-12-18 03:00:00	1.33329	1.33383	1.33306	1.33352	4184	9"
"2017-12-18 04:00:00	1.33352	1.33383	1.33323	1.33328	5071	10"
"2017-12-18 05:00:00	1.33328	1.33417	1.33325	1.33407	3780	10"
"2017-12-18 06:00:00	1.33408	1.33494	1.33397	1.33465	5356	9"
"2017-12-18 07:00:00	1.33467	1.33511	1.33411	1.33502	7185	8"
"2017-12-18 08:00:00	1.33502	1.33595	1.33441	1.3351	8869	8"
"2017-12-18 09:00:00	1.33512	1.33625	1.3344	1.33506	9011	8"
"2017-12-18 10:00:00	1.33504	1.33553	1.33342	1.335	7304	10"
"2017-12-18 11:00:00	1.335	1.33706	1.33495	1.33644	8224	8"
"2017-12-18 12:00:00	1.33644	1.33762	1.33603	1.33718	7191	4"
"2017-12-18 13:00:00	1.33718	1.34049	1.33698	1.33979	9493	7"
"2017-12-18 14:00:00	1.3398	1.34182	1.33955	1.34095	10583	8"
"2017-12-18 15:00:00	1.34094	1.34177	1.33962	1.33969	10206	6"
"2017-12-18 16:00:00	1.33967	1.34041	1.33886	1.3397	10011	7"
"2017-12-18 17:00:00	1.3397	1.34068	1.33922	1.33929	9426	7"
"2017-12-18 18:00:00	1.33928	1.33977	1.33891	1.33905	6348	9"
"2017-12-18 19:00:00	1.33905	1.33928	1.3381	1.33833	7048	8"
"2017-12-18 20:00:00	1.33833	1.33845	1.33764	1.33833	6827	8"
"2017-12-18 21:00:00	1.33833	1.33843	1.3379	1.33814	4828	7"
"2017-12-18 22:00:00	1.33812	1.33854	1.33768	1.33794	2758	26"
"2017-12-18 23:00:00	1.33793	1.3383	1.33774	1.33784	3662	21"
"2017-12-19 00:00:00	1.33785	1.33805	1.33729	1.33738	4132	10"
"2017-12-19 01:00:00	1.33738	1.3374	1.3361	1.33706	4951	9"
"2017-12-19 02:00:00	1.33708	1.33752	1.33698	1.33736	4166	10"
"2017-12-19 03:00:00	1.33737	1.33789	1.33715	1.33789	5007	7"
"2017-12-19 04:00:00	1.33789	1.33851	1.33758	1.3385	4963	8"
"2017-12-19 05:00:00	1.3385	1.33854	1.33795	1.33818	4709	9"
"2017-12-19 06:00:00	1.33818	1.33902	1.33757	1.3385	6024	8"
"2017-12-19 07:00:00	1.33851	1.3399	1.33797	1.33971	8517	9"
"2017-12-19 08:00:00	1.33972	1.34021	1.33795	1.33804	10366	9"
"2017-12-19 09:00:00	1.33799	1.33859	1.33681	1.33713	11116	8"
"2017-12-19 10:00:00	1.33711	1.33763	1.33536	1.3367	9259	10"
"2017-12-19 11:00:00	1.33671	1.33882	1.33646	1.33686	9829	8"
"2017-12-19 12:00:00	1.33685	1.33759	1.336	1.3367	10933	8"
"2017-12-19 13:00:00	1.33669	1.33694	1.334	1.3346	10631	6"
"2017-12-19 14:00:00	1.33462	1.33676	1.33451	1.33611	11522	7"
"2017-12-19 15:00:00	1.33615	1.33683	1.33473	1.3349	10685	7"
"2017-12-19 16:00:00	1.33489	1.33543	1.33309	1.33528	12128	8"
"2017-12-19 17:00:00	1.3353	1.33709	1.33433	1.337	12130	6"
"2017-12-19 18:00:00	1.337	1.33843	1.33651	1.33788	11586	9"
