"Time	Open	High	Low	Close	Volume"
"2017-12-12 00:00:00	0.75284	0.75799	0.75189	0.75561	80990	9"
"2017-12-13 00:00:00	0.75561	0.76392	0.75533	0.76292	96322	10"
"2017-12-14 00:00:00	0.76291	0.76793	0.76267	0.76648	110612	9"
"2017-12-15 00:00:00	0.76648	0.76943	0.76376	0.76418	92485	9"
"2017-12-17 00:00:00	0.76441	0.76492	0.76435	0.7646	3869	15"
"2017-12-18 00:00:00	0.7646	0.76773	0.76404	0.76639	86030	10"
"2017-12-19 00:00:00	0.7664	0.76835	0.76457	0.76515	87040	10"
"2017-12-20 00:00:00	0.76515	0.76793	0.76511	0.76705	80007	10"
"2017-12-21 00:00:00	0.76705	0.77077	0.76535	0.77052	71113	9"
"2017-12-22 00:00:00	0.77052	0.77205	0.77016	0.77127	73826	10"
"2017-12-24 00:00:00	0.7709	0.77127	0.77084	0.77097	388	54"
"2017-12-25 00:00:00	0.77096	0.77244	0.77094	0.77227	5157	90"
"2017-12-26 00:00:00	0.77226	0.77305	0.77122	0.77294	34869	12"
"2017-12-27 00:00:00	0.77295	0.7779	0.77295	0.77733	70760	9"
"2017-12-28 00:00:00	0.77733	0.78092	0.77732	0.77935	63331	10"
"2017-12-29 00:00:00	0.77935	0.78248	0.77881	0.77906	63007	8"
"2018-01-01 00:00:00	0.78043	0.78173	0.7791	0.77987	6462	33"
"2018-01-02 00:00:00	0.77987	0.78444	0.77987	0.78303	80073	10"
"2018-01-03 00:00:00	0.78304	0.78445	0.78049	0.78264	82333	9"
"2018-01-04 00:00:00	0.78264	0.78684	0.7814	0.78632	86613	10"
"2018-01-05 00:00:00	0.78633	0.78744	0.78347	0.78629	83305	8"
"2018-01-07 00:00:00	0.78613	0.78707	0.78587	0.78587	3743	57"
"2018-01-08 00:00:00	0.78587	0.78722	0.78267	0.78447	66746	10"
"2018-01-09 00:00:00	0.78446	0.78643	0.78072	0.78106	80619	9"
"2018-01-10 00:00:00	0.78106	0.78671	0.7808	0.78462	104864	9"
"2018-01-11 00:00:00	0.78463	0.78958	0.78376	0.78856	115388	9"
"2018-01-12 00:00:00	0.78857	0.7924	0.78479	0.79128	114740	9"
"2018-01-14 00:00:00	0.79023	0.79174	0.79023	0.79077	3646	36"
"2018-01-15 00:00:00	0.79077	0.79784	0.79071	0.796	106707	9"
"2018-01-16 00:00:00	0.79599	0.79744	0.79366	0.79701	109760	8"
"2018-01-17 00:00:00	0.79702	0.80224	0.79401	0.79709	130212	9"
"2018-01-18 00:00:00	0.79708	0.80114	0.79414	0.80054	118220	8"
"2018-01-19 00:00:00	0.80055	0.80384	0.79816	0.79898	116399	8"
"2018-01-21 00:00:00	0.7999	0.80024	0.79922	0.80012	3825	31"
"2018-01-22 00:00:00	0.80012	0.80268	0.79786	0.80072	93369	8"
"2018-01-23 00:00:00	0.80073	0.80295	0.79563	0.80041	111689	8"
"2018-01-24 00:00:00	0.80039	0.80825	0.7993	0.80495	132121	9"
"2018-01-25 00:00:00	0.80494	0.81186	0.80043	0.80286	164017	9"
"2018-01-26 00:00:00	0.80284	0.81355	0.8025	0.81101	147040	9"
"2018-01-28 00:00:00	0.81016	0.81176	0.81014	0.8116	4802	22"
"2018-01-29 00:00:00	0.8116	0.81177	0.80737	0.80952	124072	10"
"2018-01-30 00:00:00	0.80954	0.81132	0.80423	0.80992	129646	9"
"2018-01-31 00:00:00	0.80992	0.81167	0.80347	0.80589	145824	10"
